strain,sxx_GPa,syy_GPa,szz_GPa
0.00000,-0.06466,-0.06168,-0.04903
-0.00100,-0.02227,0.02394,0.04093
-0.00200,-0.10846,-0.00546,-0.05168
-0.00300,-0.09526,0.00416,0.02983
-0.00400,-0.13840,0.01274,0.01955
-0.00500,-0.24671,-0.08228,-0.07600
-0.00600,-0.17807,0.06569,0.07671
-0.00700,-0.29398,-0.05206,-0.05387
-0.00800,-0.28505,0.04463,0.02740
-0.00900,-0.34697,-0.01491,-0.05357
-0.01000,-0.39130,-0.00972,0.01600
-0.01100,-0.30628,0.05855,0.12880
-0.01200,-0.55111,-0.13976,-0.13679
-0.01300,-0.36395,0.15174,0.07630
-0.01400,-0.53689,-0.01655,-0.09620
-0.01500,-0.55492,-0.01303,0.00169
-0.01600,-0.45718,0.06970,0.18423
-0.01700,-0.73264,-0.22304,-0.11710
-0.01800,-0.54083,0.12642,0.12888
-0.01900,-0.71106,0.01149,-0.09575
-0.02000,-0.78778,-0.02468,-0.10865
-0.02100,-0.62457,0.11519,0.11592
-0.02200,-0.91520,-0.17970,-0.08439
-0.02300,-0.74364,0.01252,0.15443
-0.02400,-0.90443,-0.05553,-0.03844
-0.02500,-0.96091,0.00125,-0.09651
-0.02600,-0.83449,0.10983,0.02809
-0.02700,-1.03358,-0.08055,-0.07516
-0.02800,-0.96269,-0.02731,0.06931
-0.02900,-1.02153,-0.01649,0.05400
-0.03000,-1.11553,-0.06195,-0.04915
-0.03100,-1.00945,0.12330,0.04197
-0.03200,-1.19162,-0.04790,-0.10311
-0.03300,-1.10028,0.01845,0.01551
-0.03400,-1.14183,0.02311,0.07250
-0.03500,-1.28521,-0.14785,-0.04562
-0.03600,-1.14111,0.10124,0.14857
-0.03700,-1.39757,-0.08498,-0.14282
-0.03800,-1.27404,0.09804,0.00721
-0.03900,-1.31763,0.01079,0.03243
-0.04000,-1.44613,-0.11988,-0.05905
-0.04100,-1.25548,0.08850,0.13098
-0.04200,-1.47015,-0.09116,-0.06131
-0.04300,-1.44163,0.01179,-0.02231
-0.04400,-1.37592,0.08920,0.03341
-0.04500,-1.53903,-0.05240,-0.09773
-0.04600,-1.45633,-0.00319,0.06588
-0.04700,-1.49671,-0.01052,0.06039
-0.04800,-1.52771,0.00022,-0.01033
-0.04900,-1.52878,0.02266,-0.00285
-0.05000,-1.62464,0.03902,0.00324
-0.05100,-1.68281,-0.05281,-0.07549
-0.05200,-1.62714,0.04540,0.09482
-0.05300,-1.71754,-0.09657,-0.02512
-0.05400,-1.65237,0.05952,0.04533
-0.05500,-1.72226,-0.01601,-0.02737
-0.05600,-1.74651,0.01294,-0.02354
-0.05700,-1.67516,0.04698,0.03759
-0.05800,-1.81744,-0.04895,-0.00782
-0.05900,-1.86145,-0.07647,-0.02791
-0.06000,-1.74151,0.04351,0.08880
-0.06100,-1.79607,-0.01690,-0.05196
-0.06200,-1.81336,0.01800,-0.06796
-0.06300,-1.73020,0.10316,0.04829
-0.06400,-1.96144,-0.09159,-0.01544
-0.06500,-1.83024,-0.04154,0.04154
-0.06600,-1.82990,0.05603,0.08271
-0.06700,-2.02182,-0.10820,-0.16036
-0.06800,-1.70874,0.23424,0.09347
-0.06900,-1.92305,-0.07487,-0.12745
-0.07000,-1.86977,-0.01423,0.09540
-0.07100,-1.81225,0.02670,0.13894
-0.07200,-2.04199,-0.13721,-0.05906
-0.07300,-1.90722,0.04670,0.02995
-0.07400,-1.86656,0.09774,-0.00557
-0.07500,-2.00044,-0.02208,-0.10811
-0.07600,-1.89033,0.01210,0.02532
-0.07700,-1.92629,-0.02688,0.05113
-0.07800,-1.94532,-0.07841,-0.02495
-0.07900,-1.85876,0.04448,0.09612
-0.08000,-1.95463,-0.00362,-0.07819
-0.08100,-1.96148,0.04707,-0.02288
-0.08200,-1.95410,-0.02823,-0.02797
-0.08300,-1.86798,-0.00302,0.06756
-0.08400,-1.89214,-0.06033,0.03146
-0.08500,-1.91524,0.01809,0.00082
-0.08600,-1.91273,0.00240,-0.07316
-0.08700,-1.83341,0.10187,0.03055
-0.08800,-1.93878,-0.08157,-0.05565
-0.08900,-1.84616,0.02301,0.06980
-0.09000,-1.84274,-0.04749,-0.01889
-0.09100,-1.80030,-0.03002,-0.01371
-0.09200,-1.66469,0.09963,0.05845
-0.09300,-1.77388,-0.04429,-0.11717
-0.09400,-1.59273,0.01658,0.00249
-0.09500,-1.50822,-0.00208,0.07035
-0.09600,-1.48057,-0.08483,0.00634
-0.09700,-1.30706,0.02585,0.02320
-0.09800,-1.20659,0.07462,-0.02155
-0.09900,-1.12138,0.01357,-0.03056
-0.10000,-0.99987,-0.04262,-0.01030
-0.10100,-0.86113,-0.01537,0.07185
-0.10200,-0.84430,-0.02896,0.01073
-0.10300,-0.72966,0.01243,0.03740
-0.10400,-0.74173,0.00542,-0.09547
-0.10500,-0.64163,0.04725,0.03015
-0.10600,-0.70683,-0.01178,-0.02521
-0.10700,-0.69803,-0.01409,0.11147
-0.10800,-0.75708,-0.11452,-0.01140
-0.10900,-0.61091,0.09328,-0.03284
-0.11000,-0.55077,0.08008,-0.02892
-0.11100,-0.65081,-0.06667,-0.06551
-0.11200,-0.50975,0.02891,0.08932
-0.11300,-0.57436,-0.02884,0.01727
-0.11400,-0.58319,-0.01753,-0.02277
-0.11500,-0.57076,0.00176,0.00786
-0.11600,-0.65210,0.00266,-0.07074
-0.11700,-0.60367,0.04407,-0.00052
-0.11800,-0.71234,-0.01850,0.05496
-0.11900,-0.77989,-0.06797,-0.01627
-0.12000,-0.70978,0.02443,0.08096
-0.12100,-0.80464,-0.01890,-0.10498
-0.12200,-0.73234,0.09016,-0.03291
-0.12300,-0.76563,0.01198,0.01964
-0.12400,-0.77529,-0.13937,0.02496
-0.12500,-0.67487,-0.00325,0.10732
-0.12600,-0.69757,-0.01069,-0.04097
-0.12700,-0.69965,0.06462,-0.10314
-0.12800,-0.64234,0.07417,0.00961
-0.12900,-0.65821,-0.05330,-0.00519
-0.13000,-0.57076,0.00829,0.07854
-0.13100,-0.62840,-0.02652,-0.02263
-0.13200,-0.62480,0.04182,-0.03453
-0.13300,-0.56352,0.02097,-0.08502
-0.13400,-0.52573,0.03673,-0.04679
-0.13500,-0.49332,-0.02511,0.00597
-0.13600,-0.40639,0.00310,0.00655
-0.13700,-0.31908,0.04630,0.01764
-0.13800,-0.31215,-0.03680,-0.07026
-0.13900,-0.19708,0.08322,0.02980
-0.14000,-0.22288,-0.03453,0.00124
-0.14100,-0.21218,-0.09064,0.03967
-0.14200,-0.14134,0.01058,0.07099
-0.14300,-0.19302,-0.03645,-0.05577
-0.14400,-0.10861,0.14625,0.04739
-0.14500,-0.30621,-0.01816,-0.10184
-0.14600,-0.25804,-0.02916,0.03121
-0.14700,-0.33291,-0.06447,0.05006
-0.14800,-0.30661,-0.05282,0.01362
-0.14900,-0.27129,0.08861,0.02018
-0.15000,-0.37486,-0.00122,-0.06504
-0.15100,-0.35216,0.05180,0.02790
-0.15200,-0.42882,-0.00225,0.00210
-0.15300,-0.44775,-0.00638,0.01473
-0.15400,-0.43576,-0.02223,0.02021
-0.15500,-0.43574,0.03236,0.03705
-0.15600,-0.47883,-0.05207,-0.06932
-0.15700,-0.33386,0.09338,0.05918
-0.15800,-0.47772,-0.07568,-0.08908
-0.15900,-0.39071,0.02415,0.01624
-0.16000,-0.41588,0.01398,0.04689
-0.16100,-0.46353,-0.10800,-0.04266
-0.16200,-0.30043,0.10040,0.09117
-0.16300,-0.50552,-0.06408,-0.14441
-0.16400,-0.36741,0.04512,0.02854
-0.16500,-0.38001,0.01321,0.06372
-0.16600,-0.53949,-0.13620,-0.05435
-0.16700,-0.36955,0.06997,0.08316
-0.16800,-0.50400,-0.03048,-0.08885
-0.16900,-0.44118,0.06871,-0.03818
-0.17000,-0.44570,0.05031,0.10187
-0.17100,-0.60326,-0.13398,-0.08166
-0.17200,-0.46238,0.07919,0.13135
-0.17300,-0.63782,-0.08774,-0.09531
-0.17400,-0.62441,-0.00982,-0.03693
-0.17500,-0.54994,0.09097,0.05341
-0.17600,-0.70337,-0.09230,-0.09415
-0.17700,-0.55188,0.02769,0.06508
-0.17800,-0.67708,-0.01443,0.00132
-0.17900,-0.78157,-0.07496,-0.06567
-0.18000,-0.66962,0.07880,0.07929
-0.18100,-0.78584,-0.04716,-0.07830
-0.18200,-0.74163,-0.02296,-0.00328
-0.18300,-0.66737,0.07732,0.08174
-0.18400,-0.85333,-0.11824,-0.09896
-0.18500,-0.69646,0.08731,0.06620
-0.18600,-0.77749,-0.02159,-0.03495
-0.18700,-0.83450,0.00537,0.00076
-0.18800,-0.82343,0.03137,0.01156
-0.18900,-0.87365,-0.05281,-0.03631
-0.19000,-0.79789,0.05779,0.03228
-0.19100,-0.84590,-0.02033,0.00756
-0.19200,-0.83392,-0.03141,0.01651
-0.19300,-0.83108,0.01348,-0.00147
-0.19400,-0.84627,0.03038,-0.03564
-0.19500,-0.78955,0.02244,0.01168
-0.19600,-0.91604,-0.05281,-0.02663
-0.19700,-0.90854,-0.02640,-0.01240
-0.19800,-0.84710,-0.00705,0.05888
-0.19900,-0.93272,-0.01310,-0.07633
-0.20000,-0.82623,0.09934,0.02650
